日期Date,指数代码Index Code,指数中文全称Index Chinese Name(Full),指数中文简称Index Chinese Name,指数英文全称Index English Name(Full),指数英文简称Index Chinese Name,开盘Open,最高High,最低Low,收盘Close,涨跌Change,涨跌幅(%)Change(%),成交量（万手）Volume(M Shares),成交金额（亿元）Turnover,样本数量ConsNumber
20181225,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3006.88,3030.14,2964.88,3017.28,-20.92,-0.69,7868.94,804.14,300
20181226,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3012.87,3029.06,2996.48,3002.03,-15.25,-0.51,5564.70,585.75,300
20181227,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3042.95,3047.23,2990.51,2990.51,-11.53,-0.38,8054.18,811.59,300
20181228,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,2994.80,3024.35,2984.82,3010.65,20.15,0.67,7105.38,781.45,300
20190102,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3017.07,3018.78,2958.49,2969.54,-41.12,-1.37,6866.30,761.06,300
20190103,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,2963.02,3000.44,2953.25,2964.84,-4.69,-0.16,7086.71,766.65,300
20190104,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,2940.19,3036.81,2935.83,3035.87,71.03,2.40,10331.90,1071.41,300
20190107,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3055.15,3061.75,3035.91,3054.30,18.43,0.61,10116.44,1057.04,300
20190108,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3049.87,3055.51,3038.53,3047.70,-6.60,-0.22,8617.06,796.29,300
20190109,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3065.23,3117.96,3062.85,3078.48,30.77,1.01,10736.44,1171.30,300
20190110,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3077.48,3092.54,3062.57,3072.69,-5.79,-0.19,8527.18,902.07,300
20190111,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3082.26,3102.83,3071.03,3094.78,22.09,0.72,7178.64,774.20,300
20190114,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3092.50,3097.41,3064.38,3067.78,-26.99,-0.87,6612.17,681.16,300
20190115,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3071.52,3129.37,3064.67,3127.99,60.21,1.96,8877.30,999.77,300
20190116,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3126.13,3135.01,3117.29,3128.65,0.66,0.02,8021.43,857.82,300
20190117,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3132.63,3141.71,3110.06,3111.42,-17.23,-0.55,8017.49,828.88,300
20190118,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3124.50,3171.69,3120.35,3168.17,56.76,1.82,10396.38,1067.81,300
20190121,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3170.88,3199.21,3170.88,3185.64,17.46,0.55,9391.50,1055.37,300
20190122,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3181.95,3181.95,3135.34,3143.32,-42.32,-1.33,7299.05,781.51,300
20190123,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3136.10,3157.63,3131.87,3141.05,-2.26,-0.07,5987.05,626.70,300
20190124,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3146.60,3165.63,3125.30,3158.78,17.73,0.56,7293.46,809.64,300
20190125,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3165.18,3203.17,3164.41,3184.47,25.69,0.81,8396.77,932.08,300
20190128,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3203.12,3228.87,3174.72,3183.78,-0.69,-0.02,8262.24,973.71,300
20190129,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3177.26,3200.99,3148.23,3193.97,10.19,0.32,7765.83,859.44,300
20190130,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3181.66,3202.90,3167.89,3168.48,-25.49,-0.80,6374.65,730.05,300
20190131,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3182.70,3216.07,3178.01,3201.63,33.15,1.05,8624.78,975.10,300
20190201,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3225.73,3247.50,3207.72,3247.40,45.76,1.43,8201.96,947.66,300
20190211,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3239.81,3307.06,3239.81,3306.47,59.08,1.82,9881.84,1147.52,300
20190212,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3306.35,3335.36,3298.63,3330.34,23.86,0.72,12223.25,1228.34,300
20190213,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3337.78,3405.58,3329.14,3397.03,66.69,2.00,16382.83,1688.66,300
20190214,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3392.85,3415.40,3381.98,3402.14,5.11,0.15,15112.73,1386.49,300
20190215,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3391.24,3395.03,3335.87,3338.70,-63.44,-1.86,14366.86,1415.55,300
20190218,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3366.42,3445.74,3366.42,3445.74,107.04,3.21,18288.61,1804.50,300
20190219,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3454.72,3480.79,3419.07,3439.61,-6.14,-0.18,17908.38,1857.63,300
20190220,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3449.93,3463.77,3421.51,3451.93,12.32,0.36,14739.03,1455.70,300
20190221,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3450.14,3500.25,3431.63,3442.71,-9.22,-0.27,18014.33,1851.97,300
20190222,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3439.38,3520.12,3417.98,3520.12,77.41,2.25,18723.80,2028.69,300
20190225,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3575.85,3729.48,3574.69,3729.48,209.36,5.95,34255.71,3763.82,300
20190226,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3734.71,3762.11,3679.27,3684.69,-44.79,-1.20,35803.87,3876.33,300
20190227,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3682.81,3737.63,3638.33,3678.39,-6.30,-0.17,28623.60,3073.06,300
20190228,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3675.26,3695.46,3650.05,3669.37,-9.02,-0.25,18481.02,2060.11,300
20190301,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3699.22,3749.71,3668.77,3749.71,80.34,2.19,20471.10,2356.21,300
20190304,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3783.04,3886.58,3764.78,3794.10,44.39,1.18,32349.01,3763.97,300
20190305,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3785.38,3816.16,3770.79,3816.01,21.91,0.58,23085.32,2614.64,300
20190306,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3822.86,3855.16,3787.52,3848.09,32.08,0.84,31807.74,3311.56,300
20190307,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3841.15,3845.18,3778.80,3808.85,-39.24,-1.02,32984.65,3593.39,300
20190308,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3721.40,3774.54,3656.19,3657.58,-151.27,-3.97,31799.01,3492.97,300
20190311,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3663.98,3731.91,3650.81,3729.95,72.38,1.98,23091.29,2687.18,300
20190312,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3758.32,3804.72,3723.68,3755.35,25.40,0.68,27492.64,3251.81,300
20190313,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3758.71,3763.09,3708.81,3724.19,-31.16,-0.83,23368.22,2861.71,300
20190314,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3710.29,3747.82,3673.85,3698.49,-25.71,-0.69,19081.72,2318.20,300
20190315,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3713.94,3782.24,3713.94,3745.01,46.52,1.26,17517.45,2241.94,300
20190318,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3753.64,3851.75,3733.68,3851.75,106.74,2.85,21692.81,2764.73,300
20190319,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3856.59,3868.34,3815.22,3833.96,-17.79,-0.46,18172.71,2240.97,300
20190320,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3825.34,3855.15,3790.51,3835.44,1.48,0.04,17563.21,2154.07,300
20190321,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3840.28,3864.07,3823.47,3836.89,1.45,0.04,19631.03,2319.93,300
20190322,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3838.13,3845.58,3786.59,3833.80,-3.09,-0.08,17135.70,1985.18,300
20190325,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3776.44,3807.18,3741.61,3742.83,-90.98,-2.37,19858.63,2233.97,300
20190326,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3766.53,3770.84,3687.55,3700.44,-42.39,-1.13,17304.66,1965.48,300
20190327,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3724.41,3750.26,3703.45,3743.39,42.95,1.16,13875.85,1775.08,300
20190328,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3731.06,3755.72,3710.08,3728.40,-14.99,-0.40,13327.21,1726.04,300
20190329,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3739.77,3876.38,3739.77,3872.34,143.95,3.86,21563.91,2830.22,300
20190401,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3901.17,3982.91,3901.17,3973.93,101.59,2.62,27138.27,3407.99,300
20190402,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3986.34,3988.10,3956.51,3971.29,-2.64,-0.07,22600.03,2818.92,300
20190403,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3947.87,4026.50,3939.78,4022.16,50.87,1.28,23191.74,2848.26,300
20190404,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4039.74,4072.11,4021.71,4062.23,40.07,1.00,26041.09,3135.39,300
20190408,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4097.10,4122.60,4017.49,4057.23,-5.00,-0.12,26750.56,3246.70,300
20190409,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4063.81,4084.24,4038.28,4075.43,18.20,0.45,18295.68,2431.88,300
20190410,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4062.44,4115.38,4035.47,4085.85,10.42,0.26,19468.76,2782.82,300
20190411,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4083.46,4097.12,3990.24,3997.58,-88.27,-2.16,16904.96,2362.59,300
20190412,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3986.78,4006.93,3961.46,3988.62,-8.96,-0.22,13586.21,1787.96,300
20190415,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4056.49,4085.39,3974.23,3975.52,-13.09,-0.33,18264.56,2362.99,300
20190416,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3958.10,4085.79,3943.49,4085.79,110.26,2.77,20204.20,2505.69,300
20190417,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4080.72,4106.62,4057.50,4087.24,1.45,0.04,18036.71,2288.24,300
20190418,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4085.11,4094.05,4056.24,4072.08,-15.16,-0.37,14656.21,1878.13,300
20190419,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4076.30,4120.64,4046.20,4120.61,48.53,1.19,15079.49,1947.02,300
20190422,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4125.97,4126.09,4015.47,4025.61,-95.00,-2.31,18935.37,2443.81,300
20190423,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4021.63,4061.09,4005.28,4019.01,-6.61,-0.16,15561.17,2041.22,300
20190424,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4033.63,4044.34,3967.81,4030.09,11.08,0.28,14549.87,1864.98,300
20190425,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4013.60,4022.56,3938.33,3941.82,-88.27,-2.19,15972.21,1975.31,300
20190426,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3921.89,3943.83,3887.25,3889.27,-52.54,-1.33,14200.81,1865.72,300
20190429,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3896.58,3953.23,3875.45,3900.33,11.06,0.28,15387.09,2039.47,300
20190430,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3887.18,3923.11,3885.15,3913.21,12.88,0.33,11623.34,1616.66,300
20190506,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3775.08,3791.61,3647.14,3684.62,-228.59,-5.84,19747.29,2541.15,300
20190507,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3702.27,3738.18,3671.83,3720.67,36.05,0.98,13284.77,1836.59,300
20190508,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3648.55,3722.93,3642.50,3667.46,-53.21,-1.43,11286.74,1450.58,300
20190509,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3637.35,3656.90,3584.82,3599.70,-67.76,-1.85,10103.74,1418.29,300
20190510,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3643.06,3732.92,3589.29,3730.45,130.75,3.63,14800.38,1950.67,300
20190513,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3675.76,3702.90,3658.00,3668.73,-61.73,-1.65,10339.19,1350.54,300
20190514,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3630.44,3683.26,3630.44,3645.15,-23.58,-0.64,10231.35,1352.63,300
20190515,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3674.99,3741.04,3674.99,3727.09,81.94,2.25,11016.18,1525.35,300
20190516,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3720.04,3745.14,3707.90,3743.96,16.87,0.45,11625.83,1398.52,300
20190517,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3744.88,3745.36,3637.58,3648.76,-95.20,-2.54,12845.32,1540.92,300
20190520,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3635.74,3644.50,3583.83,3617.79,-30.97,-0.85,10896.35,1341.94,300
20190521,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3619.44,3690.09,3610.68,3666.78,48.98,1.35,11102.29,1330.71,300
20190522,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3663.15,3679.27,3634.75,3649.38,-17.40,-0.47,9834.61,1217.75,300
20190523,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3629.53,3631.47,3578.11,3583.96,-65.42,-1.79,9989.78,1256.12,300
20190524,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3584.90,3623.39,3580.79,3593.91,9.95,0.28,8093.40,1013.37,300
20190527,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3592.60,3648.03,3556.26,3637.20,43.28,1.20,10883.09,1333.99,300
20190528,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3633.02,3683.23,3627.79,3672.26,35.06,0.96,11788.62,1489.66,300
20190529,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3642.54,3693.23,3637.35,3663.91,-8.35,-0.23,9335.54,1200.02,300
20190530,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3648.85,3650.97,3612.62,3641.18,-22.73,-0.62,9420.26,1128.64,300
20190531,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3641.00,3668.18,3627.54,3629.79,-11.39,-0.31,8922.23,1082.64,300
20190603,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3640.61,3672.81,3613.13,3632.01,2.22,0.06,10072.32,1239.02,300
20190604,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3632.56,3636.13,3584.46,3598.47,-33.55,-0.92,8709.71,1094.67,300
20190605,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3627.79,3634.45,3593.95,3597.11,-1.36,-0.04,8864.20,1146.34,300
20190606,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3601.04,3601.04,3557.02,3564.68,-32.43,-0.90,8553.44,1043.67,300
20190610,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3578.01,3623.73,3568.28,3610.74,46.07,1.29,9237.51,1173.47,300
20190611,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3617.52,3723.14,3617.52,3719.28,108.53,3.01,14348.28,1808.99,300
20190612,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3706.86,3711.88,3683.94,3691.10,-28.18,-0.76,11917.89,1322.96,300
20190613,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3689.58,3697.59,3654.27,3685.39,-5.70,-0.15,9633.17,1104.60,300
20190614,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3690.48,3709.65,3650.91,3654.88,-30.51,-0.83,10181.70,1165.84,300
20190617,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3654.44,3683.77,3645.50,3654.82,-0.06,0.00,7297.67,930.93,300
20190618,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3661.13,3675.65,3638.78,3667.62,12.79,0.35,7069.23,894.73,300
20190619,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3761.34,3771.35,3715.13,3715.94,48.32,1.32,12559.57,1725.74,300
20190620,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3718.94,3845.79,3717.19,3828.52,112.58,3.03,16887.21,2277.27,300
20190621,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3832.73,3856.09,3817.31,3833.94,5.42,0.14,15363.52,1999.62,300
20190624,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3836.31,3853.55,3819.77,3841.27,7.33,0.19,10008.46,1436.45,300
20190625,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3837.43,3838.06,3755.01,3801.31,-39.96,-1.04,12407.59,1693.59,300
20190626,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3779.51,3809.76,3771.72,3794.33,-6.98,-0.18,8182.03,1121.07,300
20190627,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3807.54,3854.08,3805.83,3834.82,40.49,1.07,10531.64,1564.83,300
20190628,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3832.06,3835.23,3803.05,3825.59,-9.23,-0.24,8476.61,1165.12,300
20190701,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3899.33,3936.67,3886.91,3935.81,110.22,2.88,15837.03,2174.70,300
20190702,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3931.05,3942.43,3918.94,3937.17,1.36,0.03,13186.35,1739.97,300
20190703,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3927.44,3927.44,3878.84,3893.53,-43.64,-1.11,11199.26,1631.46,300
20190704,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3895.20,3906.89,3854.69,3873.10,-20.43,-0.52,9934.23,1426.69,300
20190705,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3875.37,3900.31,3857.93,3893.20,20.10,0.52,7400.65,1162.37,300
20190708,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3875.75,3875.75,3775.03,3802.79,-90.41,-2.32,10953.91,1471.98,300
20190709,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3798.10,3811.10,3774.76,3793.13,-9.66,-0.25,7484.27,1131.48,300
20190710,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3807.95,3810.40,3774.23,3786.74,-6.39,-0.17,7283.39,1013.55,300
20190711,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3806.19,3830.74,3774.41,3785.22,-1.52,-0.04,7531.20,1136.75,300
20190712,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3783.07,3820.24,3774.52,3808.73,23.51,0.62,7546.60,1070.08,300
20190715,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3792.64,3844.87,3745.85,3824.19,15.46,0.41,10120.52,1424.93,300
20190716,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3819.25,3828.33,3799.87,3806.84,-17.34,-0.45,8073.10,1084.50,300
20190717,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3800.11,3820.27,3787.90,3804.64,-2.21,-0.06,9518.39,1167.67,300
20190718,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3793.19,3793.39,3768.00,3768.40,-36.24,-0.95,8749.64,1116.69,300
20190719,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3787.51,3828.15,3787.51,3807.96,39.55,1.05,8808.61,1177.98,300
20190722,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3813.50,3816.54,3765.44,3781.68,-26.27,-0.69,9210.14,1178.10,300
20190723,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3783.54,3792.96,3768.76,3789.91,8.23,0.22,7131.33,1038.67,300
20190724,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3803.59,3840.06,3803.57,3819.83,29.92,0.79,9094.07,1299.41,300
20190725,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3821.39,3851.07,3812.95,3851.07,31.23,0.82,9374.04,1259.00,300
20190726,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3835.23,3863.59,3832.52,3858.57,7.50,0.19,8325.93,1109.30,300
20190729,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3857.94,3862.75,3842.43,3854.27,-4.30,-0.11,8481.44,1116.79,300
20190730,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3861.57,3890.73,3861.57,3870.32,16.05,0.42,9412.40,1204.80,300
20190731,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3856.75,3856.75,3830.09,3835.36,-34.96,-0.90,8215.12,1110.84,300
20190801,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3819.32,3831.26,3791.55,3803.47,-31.89,-0.83,8411.42,1176.49,300
20190802,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3729.13,3754.53,3720.06,3747.44,-56.03,-1.47,10833.59,1418.75,300
20190805,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3724.41,3739.50,3675.69,3675.69,-71.75,-1.91,10132.60,1330.61,300
20190806,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3609.11,3649.90,3575.86,3636.33,-39.36,-1.07,12983.39,1672.67,300
20190807,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3654.63,3659.08,3621.43,3621.43,-14.90,-0.41,8423.87,1086.68,300
20190808,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3651.36,3675.46,3646.94,3669.29,47.86,1.32,8845.77,1149.82,300
20190809,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3686.75,3689.18,3628.12,3633.53,-35.76,-0.97,8529.56,1163.56,300
20190812,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3647.87,3699.10,3643.32,3699.10,65.58,1.80,8208.31,1211.29,300
20190813,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3675.59,3686.43,3658.01,3665.75,-33.35,-0.90,7650.03,1037.64,300
20190814,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3712.07,3717.56,3680.61,3682.40,16.65,0.45,9120.26,1283.02,300
20190815,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3618.01,3694.30,3612.11,3694.00,11.60,0.31,8859.88,1192.41,300
20190816,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3697.94,3738.10,3687.08,3710.54,16.54,0.45,8831.92,1326.97,300
20190819,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3736.03,3791.09,3720.69,3791.09,80.56,2.17,13932.70,1954.49,300
20190820,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3786.03,3799.90,3778.73,3787.73,-3.36,-0.09,10860.21,1491.15,300
20190821,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3778.31,3792.60,3775.45,3781.76,-5.97,-0.16,8229.99,1216.89,300
20190822,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3793.86,3797.33,3771.20,3793.51,11.75,0.31,8580.78,1207.08,300
20190823,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3796.88,3829.36,3788.03,3820.86,27.36,0.72,8795.46,1378.02,300
20190826,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3756.36,3778.87,3753.16,3765.91,-54.95,-1.44,9385.93,1423.51,300
20190827,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3791.46,3848.24,3790.87,3816.95,51.04,1.36,12473.15,1817.49,300
20190828,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3818.81,3822.59,3790.14,3802.58,-14.36,-0.38,8875.08,1376.67,300
20190829,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3805.49,3808.60,3774.40,3790.19,-12.40,-0.33,8408.34,1264.76,300
20190830,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3816.68,3828.97,3778.92,3799.59,9.40,0.25,9669.52,1524.09,300
20190902,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3803.69,3855.78,3799.82,3848.32,48.73,1.28,11028.93,1649.94,300
20190903,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3852.58,3856.68,3833.76,3853.61,5.29,0.14,9771.46,1462.71,300
20190904,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3848.65,3886.00,3846.42,3886.00,32.39,0.84,12662.86,1768.40,300
20190905,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3909.21,3970.00,3909.21,3925.32,39.32,1.01,18165.62,2446.81,300
20190906,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3946.69,3948.54,3922.34,3948.51,23.18,0.59,12188.24,1817.18,300
20190909,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3980.96,3985.24,3954.88,3972.95,24.44,0.62,14680.98,2095.45,300
20190910,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3976.87,3976.92,3938.74,3959.27,-13.68,-0.34,13088.94,1844.94,300
20190911,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3969.68,3971.22,3922.95,3930.10,-29.17,-0.74,13159.49,1901.65,300
20190912,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3944.69,3975.93,3933.44,3972.38,42.28,1.08,11024.13,1567.51,300
20190916,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3981.36,3982.20,3943.37,3957.72,-14.66,-0.37,11025.98,1547.37,300
20190917,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3947.16,3947.16,3879.49,3891.22,-66.49,-1.68,11369.43,1548.99,300
20190918,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3902.99,3923.15,3902.51,3910.08,18.86,0.48,8205.62,1301.60,300
20190919,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3923.96,3924.38,3897.07,3924.38,14.30,0.37,8598.42,1274.22,300
20190920,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3933.46,3942.22,3921.41,3935.65,11.27,0.29,10345.60,1531.63,300
20190923,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3925.19,3925.19,3868.21,3890.66,-44.99,-1.14,9403.62,1392.24,300
20190924,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3895.87,3927.01,3886.14,3901.08,10.41,0.27,8778.32,1423.41,300
20190925,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,3887.55,3889.84,3867.23,3870.98,-30.09,-0.77,8952.08,1332.24,300
